"Date","Price","Open","High","Low","Vol.","Change %"
"09/15/2022","159.78","159.65","160.21","159.57","1.03K","-0.27%"
"09/14/2022","160.22","159.99","160.22","159.79","0.42K","0.01%"
"09/13/2022","160.20","160.62","161.27","159.85","0.20K","-0.52%"
"09/12/2022","161.03","159.77","160.99","159.71","1.86K","0.47%"
"09/09/2022","160.28","159.55","161.00","159.33","0.76K","-0.18%"
"09/08/2022","160.57","161.99","162.14","160.50","0.74K","-0.93%"
"09/07/2022","162.08","161.30","162.24","161.09","1.88K","0.50%"
"09/06/2022","161.27","161.38","162.48","161.08","2.13K","-0.20%"
"09/05/2022","161.60","161.59","161.68","161.36","3.10K","-0.46%"
"09/02/2022","162.35","161.29","162.78","161.10","1.04K","0.53%"
"09/01/2022","161.50","161.16","161.50","160.85","0.13K","-0.29%"
"08/31/2022","161.97","162.92","163.06","161.44","13.49K","-0.34%"
"08/30/2022","162.52","162.54","163.35","161.96","2.72K","-0.04%"
"08/29/2022","162.59","162.93","162.93","162.11","0.92K","-0.91%"
"08/26/2022","164.08","164.80","164.94","163.61","3.31K","-0.69%"
"08/25/2022","165.22","164.23","165.24","164.23","0.29K","0.52%"
"08/24/2022","164.36","164.52","164.61","164.02","1.74K","-0.37%"
"08/23/2022","164.97","165.76","165.78","164.24","2.03K","-0.18%"
"08/22/2022","165.26","166.85","166.91","165.34","0.72K","-0.63%"
"08/19/2022","166.31","166.67","166.67","166.23","0.26K","-1.08%"
"08/18/2022","168.13","167.92","168.40","167.75","0.53K","-0.14%"
"08/17/2022","168.36","169.76","169.78","167.94","1.40K","-1.00%"
"08/16/2022","170.06","171.02","171.05","169.72","3.55K","-0.03%"
"08/12/2022","170.11","170.17","170.51","169.82","11.79K","-0.30%"
"08/11/2022","170.63","171.26","171.74","170.63","1.13K","-0.52%"
"08/10/2022","171.53","171.20","171.86","170.87","0.35K","0.37%"
"08/09/2022","170.90","171.10","171.10","170.48","1.12K","-0.22%"
"08/08/2022","171.28","171.35","171.48","171.14","2.55K","0.32%"
"08/05/2022","170.73","172.34","172.34","170.90","1.12K","-1.03%"
"08/04/2022","172.50","171.69","172.67","171.12","64.88K","0.65%"
"08/03/2022","171.38","171.92","171.92","170.76","2.14K","-0.45%"
"08/02/2022","172.16","173.21","173.75","171.98","0.40K","-0.32%"
"08/01/2022","172.71","172.09","172.92","171.28","2.34K","0.52%"
"07/29/2022","171.81","171.28","171.81","170.17","1.97K","0.16%"
"07/28/2022","171.54","168.68","171.54","168.53","0.27K","1.36%"
"07/27/2022","169.24","169.09","169.41","168.91","0.47K","-0.20%"
"07/26/2022","169.58","168.79","169.66","168.63","4.01K","0.63%"
"07/25/2022","168.52","168.25","168.52","167.63","2.20K","0.08%"
"07/22/2022","168.38","166.55","168.56","165.20","1.05K","1.63%"
"07/21/2022","165.68","164.92","165.68","164.20","9.14K","-0.14%"
"07/20/2022","165.91","166.51","167.18","165.63","3.61K","0.16%"
"07/19/2022","165.64","166.79","166.79","165.64","1.39K","-0.55%"
"07/18/2022","166.55","166.26","166.62","165.94","2.01K","-0.36%"
"07/15/2022","167.15","167.65","167.65","166.93","2.24K","0.23%"
"07/14/2022","166.76","165.76","166.76","165.76","2.14K","-0.64%"
"07/13/2022","167.84","167.60","167.91","166.74","3.50K","-0.11%"
"07/12/2022","168.03","166.97","168.27","166.97","3.58K","0.91%"
"07/11/2022","166.51","166.25","166.95","165.95","0.91K","0.75%"
"07/08/2022","165.27","166.13","166.22","165.27","0.43K","-0.37%"
"07/07/2022","165.88","165.72","166.33","165.50","16.29K","-0.67%"
"07/06/2022","167.00","166.35","168.19","166.35","10.27K","0.25%"
"07/05/2022","166.58","165.25","166.35","165.20","2.71K","1.02%"
"07/04/2022","164.89","166.40","166.40","165.00","1.08K","-1.26%"
"07/01/2022","167.00","164.88","167.00","164.00","6.52K","1.44%"
